City and state, Rank based on resident population 2005, Median household income (dollars), Median family income  (dollars), Per capita income  (dollars), Individuals for  whom poverty status determined (number), Families for  whom poverty status determined (number), Total individual below povery level, Total familes below povery level, Percent individual below povery level, Percent familes below povery level
255,203.0,35004.0,36183.0,16136.0,116105.0,30380.0,31386.0,7520.0,27.03242754,24.75312706
256,286.0,69611.0,85357.0,32203.0,91950.0,-1.0,5624.0,-1.0,6.116367591,-1.0
257,408.0,40564.0,49384.0,22687.0,73782.0,-1.0,10051.0,-1.0,13.62256377,-1.0
258,394.0,40471.0,46554.0,23046.0,76249.0,-1.0,7947.0,-1.0,10.42243177,-1.0
259,17.0,33244.0,40111.0,20279.0,637252.0,155875.0,150704.0,32860.0,23.64904308,21.08099439
260,465.0,32791.0,38381.0,16798.0,64885.0,16461.0,15751.0,3447.0,24.27525622,20.94040459
261,37.0,44861.0,53730.0,22325.0,439144.0,110179.0,52067.0,9767.0,11.85647532,8.86466568
262,188.0,47466.0,56375.0,20391.0,126490.0,32670.0,12572.0,2536.0,9.939125623,7.762473217
263,175.0,43044.0,61459.0,26958.0,132714.0,-1.0,14185.0,-1.0,10.68839761,-1.0
264,335.0,33763.0,47545.0,33604.0,84086.0,-1.0,11966.0,-1.0,14.2306686,-1.0
265,48.0,25211.0,28784.0,17531.0,359681.0,84750.0,101883.0,20881.0,28.32593326,24.63834808
266,290.0,32893.0,38700.0,14730.0,91506.0,22983.0,15586.0,3187.0,17.03276288,13.86677109
267,247.0,41660.0,53209.0,23457.0,100338.0,26969.0,15157.0,3156.0,15.10594192,11.70232489
268,22.0,32666.0,35675.0,17696.0,553814.0,128097.0,137760.0,27268.0,24.87477745,21.28699345
269,50.0,41829.0,57316.0,26886.0,348942.0,72828.0,72681.0,10643.0,20.82896298,14.61388477
270,206.0,57941.0,61256.0,21424.0,114767.0,29189.0,9527.0,2110.0,8.301166712,7.228750557
271,298.0,90855.0,102844.0,37969.0,90065.0,-1.0,3071.0,-1.0,3.409759618,-1.0
272,483.0,63330.0,73435.0,25903.0,60220.0,-1.0,6685.0,-1.0,11.10096314,-1.0
273,102.0,31107.0,37803.0,20532.0,193071.0,48761.0,46279.0,10003.0,23.96993852,20.51434548
274,95.0,45769.0,53967.0,21669.0,201376.0,47702.0,26994.0,5106.0,13.40477515,10.70395371
275,104.0,40582.0,47994.0,25122.0,192889.0,52344.0,32766.0,8397.0,16.98697178,16.04195323
276,132.0,56111.0,56190.0,19207.0,160721.0,37924.0,21287.0,4047.0,13.24469111,10.67134269
277,467.0,45908.0,56266.0,22898.0,65067.0,-1.0,8632.0,-1.0,13.26632548,-1.0
278,436.0,75411.0,98494.0,47251.0,69427.0,-1.0,4614.0,-1.0,6.645829432,-1.0
279,489.0,28212.0,35555.0,15287.0,56843.0,-1.0,13772.0,-1.0,24.22813715,-1.0
280,339.0,39652.0,55845.0,24862.0,83304.0,-1.0,15135.0,-1.0,18.16839528,-1.0
281,257.0,63028.0,70854.0,23965.0,97766.0,-1.0,6504.0,-1.0,6.65261952,-1.0
282,451.0,37804.0,45528.0,16899.0,66397.0,17364.0,13380.0,2640.0,20.15151287,15.20387008
283,412.0,57040.0,63667.0,29675.0,72498.0,-1.0,6380.0,-1.0,8.800242765,-1.0
284,148.0,93338.0,106464.0,39725.0,147779.0,-1.0,3650.0,-1.0,2.469904384,-1.0
285,334.0,57056.0,70419.0,28769.0,83824.0,-1.0,4710.0,-1.0,5.618915824,-1.0
286,27.0,40214.0,49748.0,25005.0,521240.0,135214.0,75968.0,15891.0,14.57447625,11.75248125
287,332.0,31845.0,44317.0,19039.0,84762.0,22198.0,17019.0,3619.0,20.07857295,16.30327056
288,427.0,39303.0,48184.0,19817.0,69844.0,17649.0,13151.0,2315.0,18.82910486,13.11689048
289,219.0,30603.0,35511.0,20178.0,107269.0,23874.0,29151.0,5730.0,27.17560525,24.00100528
290,39.0,30711.0,39428.0,21998.0,436090.0,90461.0,106666.0,19748.0,24.45962989,21.83040205
291,398.0,66363.0,83324.0,37858.0,75830.0,-1.0,8359.0,-1.0,11.02334169,-1.0
292,1.0,43434.0,49374.0,27233.0,7930854.0,1839961.0,1512112.0,307345.0,19.06619388,16.70388666
293,69.0,30665.0,34816.0,15346.0,253337.0,56539.0,62866.0,12967.0,24.81516715,22.93461151
294,350.0,97428.0,127698.0,75997.0,82244.0,-1.0,5265.0,-1.0,6.401682798,-1.0
295,122.0,46641.0,54135.0,21212.0,175179.0,50174.0,24177.0,5412.0,13.8013118,10.78646311
296,349.0,91746.0,124893.0,55891.0,82383.0,-1.0,4429.0,-1.0,5.376109149,-1.0
297,90.0,36920.0,42194.0,20903.0,205076.0,50005.0,36399.0,7145.0,17.74902963,14.28857114
298,262.0,38636.0,55478.0,23403.0,97374.0,24658.0,18455.0,2610.0,18.95269785,10.58480006
299,430.0,31017.0,35517.0,17386.0,69605.0,-1.0,15693.0,-1.0,22.54579412,-1.0
300,130.0,53183.0,54060.0,19198.0,163198.0,37228.0,20207.0,4048.0,12.38189194,10.87353605
301,233.0,51137.0,51780.0,16617.0,103251.0,22986.0,10429.0,2038.0,10.10062857,8.866266423
302,325.0,65741.0,70934.0,35051.0,85858.0,-1.0,6918.0,-1.0,8.057490275,-1.0
303,44.0,44124.0,47283.0,25739.0,372686.0,83178.0,68148.0,14053.0,18.28563456,16.89509245
304,134.0,55382.0,66929.0,24765.0,161271.0,-1.0,10199.0,-1.0,6.324137632,-1.0
305,273.0,36162.0,43140.0,18740.0,93617.0,23958.0,16636.0,3305.0,17.77027677,13.79497454
306,449.0,75796.0,80504.0,29591.0,67491.0,-1.0,1831.0,-1.0,2.71295432,-1.0
307,375.0,39058.0,44720.0,17671.0,79076.0,19845.0,16564.0,3361.0,20.94693712,16.93625598
308,29.0,37375.0,49769.0,22190.0,514013.0,133489.0,95947.0,19943.0,18.66625941,14.93980777
309,224.0,66230.0,78864.0,28373.0,107418.0,-1.0,9024.0,-1.0,8.400826677,-1.0
310,45.0,40484.0,51637.0,23500.0,371917.0,88681.0,57020.0,11588.0,15.3313777,13.06706059
311,142.0,46344.0,49979.0,17285.0,156088.0,34502.0,23330.0,4867.0,14.94669674,14.10642861
312,167.0,69695.0,74475.0,29365.0,137662.0,32635.0,10803.0,2057.0,7.847481513,6.303048874
313,329.0,46797.0,51043.0,18400.0,85616.0,-1.0,9645.0,-1.0,11.26541768,-1.0
314,79.0,36699.0,40143.0,23157.0,220797.0,51155.0,33368.0,6986.0,15.11252417,13.65653406
315,135.0,64804.0,84273.0,35211.0,161216.0,-1.0,6914.0,-1.0,4.288656213,-1.0
316,118.0,48952.0,50922.0,17099.0,178637.0,35827.0,29492.0,4429.0,16.50945773,12.36218494
317,444.0,64666.0,78497.0,33203.0,68799.0,-1.0,2342.0,-1.0,3.404119246,-1.0
318,299.0,40748.0,48166.0,18443.0,89857.0,-1.0,9135.0,-1.0,10.16615289,-1.0
319,151.0,46536.0,52320.0,16049.0,142771.0,30840.0,25264.0,4831.0,17.69547037,15.66472114
320,86.0,41916.0,51961.0,22292.0,209562.0,47968.0,30794.0,5020.0,14.69445796,10.46531021
321,372.0,47843.0,57336.0,21732.0,79426.0,-1.0,5149.0,-1.0,6.48276383,-1.0
322,182.0,51233.0,62627.0,36983.0,128952.0,29706.0,18177.0,3062.0,14.09594268,10.30768195
323,145.0,37642.0,41023.0,16899.0,149810.0,35402.0,28373.0,5875.0,18.93932314,16.59510762
324,445.0,29963.0,30663.0,13356.0,67954.0,-1.0,18563.0,-1.0,27.31700856,-1.0
325,147.0,34987.0,37691.0,14341.0,147452.0,33554.0,35532.0,8141.0,24.09733337,24.26238302
326,413.0,36407.0,43383.0,20423.0,72784.0,-1.0,13660.0,-1.0,18.76786107,-1.0
327,138.0,55847.0,69267.0,28197.0,159154.0,41238.0,13923.0,3012.0,8.748130741,7.303942965
328,158.0,60417.0,67034.0,25658.0,140959.0,-1.0,7625.0,-1.0,5.409374357,-1.0
329,241.0,40276.0,58267.0,25791.0,101675.0,24275.0,16070.0,3145.0,15.80526186,12.95571576
330,5.0,32573.0,40534.0,19140.0,1402099.0,321706.0,343547.0,64162.0,24.50233543,19.94429697
331,6.0,42353.0,47559.0,22471.0,1372367.0,314004.0,225117.0,42456.0,16.40355677,13.52084687
332,62.0,30278.0,41633.0,22018.0,283534.0,68844.0,65726.0,11799.0,23.18099417,17.13874847
333,70.0,71560.0,89972.0,37950.0,251318.0,64912.0,15733.0,3148.0,6.260196245,4.849642593
334,306.0,60256.0,72147.0,34336.0,88218.0,23291.0,7964.0,1709.0,9.027636083,7.337598214
335,452.0,101022.0,106110.0,44802.0,67018.0,-1.0,2800.0,-1.0,4.177982035,-1.0
336,440.0,74397.0,92453.0,40732.0,68732.0,-1.0,3046.0,-1.0,4.431705756,-1.0
337,136.0,41805.0,43328.0,15767.0,161050.0,32848.0,21525.0,3739.0,13.36541447,11.38273259
338,271.0,40390.0,46669.0,25784.0,94892.0,22784.0,13706.0,2760.0,14.44378873,12.11376404
339,486.0,27802.0,33022.0,15758.0,59259.0,14709.0,13437.0,3088.0,22.6750367,20.99394928
340,191.0,49296.0,53785.0,23472.0,122266.0,-1.0,7132.0,-1.0,5.833183387,-1.0
341,31.0,42287.0,55321.0,26677.0,510595.0,118471.0,90689.0,14020.0,17.76143519,11.83411974
342,270.0,40172.0,49624.0,21289.0,94539.0,23122.0,15896.0,2877.0,16.81422482,12.44269527
343,137.0,34202.0,41404.0,20333.0,159950.0,35299.0,47080.0,10339.0,29.43419819,29.28978158
344,245.0,31603.0,34085.0,15072.0,101105.0,-1.0,28596.0,-1.0,28.28346768,-1.0
345,244.0,31261.0,37949.0,17723.0,100931.0,26747.0,23566.0,5864.0,23.34862431,21.92395409
346,336.0,59526.0,72295.0,30270.0,84080.0,-1.0,4886.0,-1.0,5.811132255,-1.0
347,387.0,38156.0,45239.0,19428.0,76858.0,19600.0,15902.0,3319.0,20.69010383,16.93367347
348,54.0,48131.0,65033.0,29464.0,314393.0,75204.0,48612.0,7209.0,15.46217632,9.585926281
349,152.0,71967.0,83958.0,29749.0,144711.0,-1.0,9657.0,-1.0,6.673300578,-1.0
350,359.0,24026.0,28756.0,12938.0,80289.0,18843.0,28168.0,6134.0,35.08326172,32.55320278
351,304.0,42891.0,52362.0,22980.0,89051.0,23424.0,9609.0,1876.0,10.79044592,8.008879781
352,410.0,52111.0,61491.0,30415.0,73432.0,-1.0,7886.0,-1.0,10.73918728,-1.0
353,479.0,85594.0,98341.0,50388.0,61473.0,-1.0,1610.0,-1.0,2.619036,-1.0
354,361.0,67829.0,67243.0,32795.0,78849.0,-1.0,10613.0,-1.0,13.45990437,-1.0
355,93.0,42214.0,53390.0,24801.0,203799.0,47074.0,28047.0,5283.0,13.76208912,11.22275566
356,281.0,50446.0,52994.0,16514.0,92806.0,-1.0,10959.0,-1.0,11.80850376,-1.0
357,222.0,63932.0,77237.0,31672.0,107684.0,-1.0,7715.0,-1.0,7.16448126,-1.0
358,266.0,52794.0,57931.0,22326.0,96065.0,23909.0,14954.0,3646.0,15.56654349,15.24948764
359,117.0,34396.0,45255.0,26284.0,180476.0,39205.0,33478.0,5306.0,18.54983488,13.53398801
360,472.0,47270.0,55404.0,21739.0,62809.0,-1.0,3745.0,-1.0,5.962521295,-1.0
361,57.0,50416.0,57913.0,20924.0,292239.0,66317.0,41164.0,6964.0,14.0857312,10.50107815
362,300.0,32432.0,46535.0,20618.0,89872.0,23461.0,15125.0,3069.0,16.82949083,13.08128383
363,314.0,54000.0,69802.0,31142.0,87933.0,-1.0,5025.0,-1.0,5.714578145,-1.0
364,113.0,26650.0,28387.0,16007.0,188475.0,43114.0,56460.0,11884.0,29.95622762,27.5641323
365,428.0,80937.0,96046.0,36234.0,70126.0,-1.0,3281.0,-1.0,4.678721159,-1.0
366,163.0,35356.0,43185.0,20112.0,138721.0,33593.0,25409.0,5179.0,18.31662113,15.41690233
367,217.0,62291.0,74875.0,30309.0,108622.0,-1.0,4987.0,-1.0,4.591150964,-1.0
368,258.0,68430.0,84595.0,37667.0,98137.0,-1.0,2916.0,-1.0,2.971356369,-1.0
369,357.0,60190.0,69662.0,25102.0,81100.0,-1.0,7142.0,-1.0,8.806411837,-1.0
370,36.0,44867.0,50653.0,22841.0,443948.0,102167.0,85181.0,15056.0,19.18715705,14.73665665
371,157.0,39259.0,47380.0,21671.0,140360.0,35009.0,23556.0,3820.0,16.78255913,10.91147991
372,141.0,50165.0,51048.0,16512.0,155125.0,32289.0,31238.0,5553.0,20.13730862,17.1978073
373,115.0,37287.0,44678.0,23286.0,182483.0,40038.0,30809.0,5031.0,16.88321652,12.56556272
374,352.0,36445.0,45639.0,18480.0,82106.0,21865.0,14523.0,2926.0,17.68811049,13.38211754
375,8.0,40186.0,47150.0,20407.0,1198177.0,285281.0,224014.0,44091.0,18.69623603,15.45528794
376,92.0,33915.0,34925.0,14296.0,203940.0,45400.0,57254.0,10814.0,28.07394332,23.81938326
377,249.0,57574.0,72468.0,30505.0,100106.0,-1.0,10876.0,-1.0,10.86448365,-1.0
378,7.0,55637.0,67925.0,29497.0,1203743.0,276868.0,161978.0,26935.0,13.45619455,9.728462661
379,14.0,57496.0,73180.0,39554.0,718495.0,141327.0,87823.0,12626.0,12.22318875,8.933890905
380,10.0,70921.0,79413.0,30769.0,884528.0,209138.0,88182.0,15760.0,9.969384802,7.535694135
381,383.0,55235.0,65981.0,27184.0,77463.0,-1.0,5749.0,-1.0,7.421607735,-1.0
382,386.0,67313.0,70338.0,24267.0,77004.0,-1.0,5428.0,-1.0,7.048984468,-1.0
383,279.0,76704.0,83305.0,39101.0,93091.0,-1.0,6482.0,-1.0,6.963079138,-1.0
384,316.0,65971.0,75341.0,26410.0,87842.0,-1.0,4741.0,-1.0,5.39719041,-1.0
385,252.0,67120.0,94565.0,52484.0,99501.0,-1.0,6969.0,-1.0,7.003949709,-1.0
386,56.0,47438.0,46154.0,14110.0,296097.0,56786.0,51134.0,8969.0,17.26934079,15.79438594
387,295.0,61182.0,82035.0,34563.0,90534.0,-1.0,12441.0,-1.0,13.74179866,-1.0
388,240.0,71284.0,81861.0,33509.0,102204.0,-1.0,9520.0,-1.0,9.314703925,-1.0
389,128.0,74759.0,82628.0,29600.0,166584.0,41136.0,10682.0,2325.0,6.412380541,5.651983664
390,455.0,45177.0,52226.0,34095.0,66299.0,-1.0,10360.0,-1.0,15.62617837,-1.0
391,308.0,45200.0,45808.0,15481.0,88616.0,19588.0,17122.0,3184.0,19.32156721,16.25484991
392,347.0,55274.0,87748.0,55218.0,82777.0,-1.0,5888.0,-1.0,7.113086969,-1.0
393,150.0,51454.0,61134.0,27914.0,146395.0,35264.0,15987.0,3076.0,10.92045493,8.72277677
394,199.0,30887.0,39411.0,17193.0,117069.0,29264.0,26742.0,4284.0,22.84293878,14.63914707
395,382.0,64828.0,79914.0,34857.0,77415.0,-1.0,3920.0,-1.0,5.063618162,-1.0
396,81.0,60057.0,80218.0,41737.0,215933.0,-1.0,15294.0,-1.0,7.08275252,-1.0
397,450.0,28282.0,36619.0,16468.0,67018.0,17193.0,15327.0,2979.0,22.86997523,17.32681905
398,26.0,49297.0,69795.0,36392.0,535374.0,112940.0,66068.0,7468.0,12.34053204,6.612360545
399,433.0,64940.0,76351.0,28945.0,69837.0,-1.0,4176.0,-1.0,5.979638301,-1.0
400,106.0,32027.0,40346.0,20148.0,191918.0,47367.0,48485.0,8728.0,25.26339374,18.42633057
401,409.0,59490.0,64973.0,31631.0,73420.0,-1.0,4167.0,-1.0,5.675565241,-1.0
402,202.0,78692.0,87813.0,31179.0,116495.0,-1.0,4707.0,-1.0,4.04051676,-1.0
403,378.0,39037.0,49010.0,18944.0,78114.0,20012.0,12481.0,2448.0,15.97792969,12.2326604
404,179.0,44341.0,57196.0,25345.0,131933.0,36277.0,16288.0,3383.0,12.3456603,9.325467927
405,403.0,57118.0,55106.0,27073.0,74869.0,-1.0,12726.0,-1.0,16.9976893,-1.0
406,263.0,31867.0,41101.0,18381.0,95999.0,22336.0,21931.0,3853.0,22.84502964,17.25017908
407,234.0,40653.0,42289.0,12238.0,102759.0,-1.0,14705.0,-1.0,14.31018208,-1.0
408,399.0,49427.0,70157.0,28889.0,74740.0,-1.0,6688.0,-1.0,8.948354295,-1.0
409,393.0,51413.0,55676.0,22902.0,75309.0,-1.0,5165.0,-1.0,6.858410017,-1.0
410,105.0,34752.0,48064.0,20914.0,191674.0,47705.0,33235.0,5409.0,17.33933658,11.33843413
411,319.0,37178.0,50784.0,19524.0,87520.0,22431.0,14422.0,2661.0,16.4785192,11.86304668
412,327.0,41735.0,48222.0,20417.0,85431.0,-1.0,8875.0,-1.0,10.38850066,-1.0
413,161.0,50742.0,60062.0,28383.0,139630.0,35698.0,12341.0,2799.0,8.838358519,7.840775394
414,213.0,43054.0,57376.0,27052.0,109859.0,27572.0,14726.0,2904.0,13.4044548,10.5324242
415,149.0,29922.0,34985.0,17023.0,146229.0,34404.0,43215.0,9619.0,29.55296145,27.95895826
416,162.0,29433.0,41028.0,19699.0,138804.0,34936.0,25048.0,4744.0,18.04558946,13.5791161
417,485.0,39293.0,47726.0,23512.0,59494.0,-1.0,7935.0,-1.0,13.33747941,-1.0
418,441.0,33127.0,46872.0,18374.0,68631.0,18196.0,10254.0,2043.0,14.94077021,11.22774236
419,52.0,30874.0,36282.0,19153.0,332169.0,69387.0,84435.0,15199.0,25.41928958,21.90467955
420,66.0,44103.0,55606.0,23541.0,260973.0,59504.0,48468.0,8467.0,18.57203619,14.22929551
421,73.0,37947.0,50108.0,26446.0,232480.0,58924.0,33456.0,6726.0,14.39091535,11.41470369
422,198.0,66638.0,81759.0,44040.0,118366.0,-1.0,10316.0,-1.0,8.715340554,-1.0
423,189.0,60010.0,70080.0,27098.0,123082.0,-1.0,10095.0,-1.0,8.201849174,-1.0
424,64.0,41118.0,47101.0,18976.0,277797.0,62740.0,55740.0,10093.0,20.0650115,16.08702582
425,381.0,60484.0,67876.0,25493.0,77612.0,-1.0,9028.0,-1.0,11.63222182,-1.0
426,437.0,86231.0,93643.0,38332.0,69203.0,-1.0,3934.0,-1.0,5.684724651,-1.0
427,176.0,74449.0,84376.0,38547.0,132539.0,-1.0,10441.0,-1.0,7.877681286,-1.0
428,323.0,44409.0,51949.0,21419.0,85811.0,21828.0,8650.0,1790.0,10.08029274,8.200476452
429,99.0,41064.0,43393.0,17275.0,194084.0,47012.0,30070.0,6189.0,15.49329156,13.1647239
430,293.0,53958.0,58226.0,23277.0,91366.0,-1.0,6804.0,-1.0,7.446971521,-1.0
431,178.0,25935.0,31749.0,16626.0,131449.0,29139.0,41137.0,7651.0,31.29502697,26.25690655
432,108.0,40290.0,48183.0,22854.0,190854.0,45784.0,32340.0,6245.0,16.94488981,13.64013629
433,160.0,35765.0,51688.0,23898.0,140936.0,33362.0,31372.0,3664.0,22.25974911,10.982555
434,55.0,38568.0,47329.0,26265.0,312374.0,75645.0,57252.0,10763.0,18.32802986,14.22830326
435,317.0,67903.0,70467.0,24940.0,87677.0,-1.0,5952.0,-1.0,6.78855344,-1.0
436,129.0,45644.0,60800.0,24857.0,163248.0,33272.0,21973.0,2387.0,13.45988925,7.174200529
437,462.0,85314.0,111016.0,43339.0,65653.0,-1.0,3528.0,-1.0,5.373707218,-1.0
438,239.0,63636.0,66961.0,24556.0,101870.0,25817.0,5770.0,1209.0,5.664081673,4.68296084
439,185.0,90503.0,104885.0,43047.0,127567.0,-1.0,10591.0,-1.0,8.302303887,-1.0
440,61.0,33044.0,42179.0,17953.0,285110.0,69197.0,66606.0,12738.0,23.36150959,18.4083125
441,287.0,65478.0,79608.0,29617.0,91884.0,-1.0,3795.0,-1.0,4.130207653,-1.0
442,200.0,35726.0,48641.0,21992.0,116859.0,31692.0,17102.0,3791.0,14.63473074,11.96200934
443,165.0,66999.0,82048.0,35293.0,138349.0,-1.0,8924.0,-1.0,6.450353815,-1.0
444,384.0,41998.0,42885.0,21238.0,76014.0,18456.0,11332.0,2042.0,14.90778015,11.06415258
445,353.0,70643.0,76758.0,26336.0,82154.0,-1.0,5403.0,-1.0,6.576673077,-1.0
446,385.0,34356.0,42937.0,15991.0,77429.0,18208.0,17422.0,3692.0,22.50061347,20.27680141
447,338.0,81111.0,95910.0,35701.0,83425.0,-1.0,4458.0,-1.0,5.343721906,-1.0
448,32.0,34241.0,41529.0,18813.0,504843.0,121080.0,101034.0,19754.0,20.01295452,16.31483317
449,46.0,35966.0,43802.0,23762.0,369145.0,95796.0,65140.0,14492.0,17.64618239,15.12798029
450,402.0,48468.0,57939.0,19550.0,74446.0,-1.0,6863.0,-1.0,9.218762593,-1.0
451,448.0,24257.0,40291.0,21515.0,67903.0,-1.0,19567.0,-1.0,28.81610533,-1.0
452,370.0,56631.0,61611.0,30682.0,79423.0,-1.0,4186.0,-1.0,5.270513579,-1.0
453,320.0,31514.0,45644.0,22425.0,87243.0,22589.0,18503.0,4071.0,21.20857834,18.02204613
454,468.0,77542.0,81293.0,27887.0,65117.0,-1.0,6336.0,-1.0,9.730177987,-1.0
455,471.0,32345.0,32162.0,17376.0,64726.0,14927.0,15111.0,3125.0,23.34610512,20.93521806
456,405.0,57194.0,69480.0,25749.0,74252.0,-1.0,10864.0,-1.0,14.63125572,-1.0
457,362.0,66747.0,77492.0,27148.0,80974.0,-1.0,3803.0,-1.0,4.696569269,-1.0
458,205.0,54706.0,65362.0,23315.0,115515.0,-1.0,13920.0,-1.0,12.05038307,-1.0
459,143.0,40743.0,47277.0,23084.0,155093.0,37726.0,26275.0,5651.0,16.94144803,14.97905953
460,282.0,42374.0,43116.0,16727.0,91549.0,-1.0,16246.0,-1.0,17.7456881,-1.0
461,40.0,58545.0,66102.0,28064.0,428825.0,112963.0,31631.0,7125.0,7.376202414,6.307374981
462,218.0,45023.0,49659.0,21931.0,108117.0,27351.0,21605.0,4293.0,19.9829814,15.69595262
463,344.0,49294.0,52220.0,21219.0,82683.0,20868.0,12268.0,2601.0,14.837391,12.4640598
464,226.0,27955.0,40354.0,17344.0,106250.0,22886.0,27922.0,3874.0,26.27952941,16.92737918
465,170.0,44855.0,54761.0,22716.0,134473.0,35064.0,15696.0,3368.0,11.6722316,9.605293178
466,328.0,57153.0,68480.0,29570.0,85600.0,-1.0,4130.0,-1.0,4.824766355,-1.0
467,30.0,47221.0,51411.0,37569.0,513137.0,108483.0,97617.0,18159.0,19.0235746,16.73902823
468,232.0,36120.0,42823.0,18317.0,103680.0,-1.0,18701.0,-1.0,18.03722994,-1.0
469,418.0,50758.0,62896.0,26676.0,72143.0,-1.0,5943.0,-1.0,8.23780547,-1.0
470,441.0,32987.0,43621.0,18327.0,68971.0,18177.0,12059.0,2168.0,17.48416001,11.9271607
471,351.0,42249.0,47453.0,20676.0,80893.0,19453.0,11018.0,2148.0,13.6204616,11.04199866
472,473.0,52599.0,69819.0,26455.0,62451.0,-1.0,4051.0,-1.0,6.486685561,-1.0
473,204.0,52603.0,54169.0,19636.0,115450.0,-1.0,16169.0,-1.0,14.00519706,-1.0
474,243.0,56630.0,59655.0,18389.0,101198.0,-1.0,4376.0,-1.0,4.32419613,-1.0
475,322.0,40047.0,42909.0,26025.0,86567.0,-1.0,16552.0,-1.0,19.12045006,-1.0
476,195.0,43981.0,44525.0,16249.0,119098.0,28031.0,16229.0,3354.0,13.62659323,11.96532411
477,368.0,46004.0,61576.0,23764.0,79905.0,-1.0,7803.0,-1.0,9.765346349,-1.0
478,259.0,58938.0,65973.0,20733.0,97683.0,-1.0,9227.0,-1.0,9.44586059,-1.0
479,253.0,60265.0,69864.0,28265.0,98961.0,-1.0,5789.0,-1.0,5.849779206,-1.0
480,426.0,83313.0,91851.0,35464.0,70557.0,-1.0,1040.0,-1.0,1.473985572,-1.0
481,366.0,54555.0,65382.0,25541.0,80435.0,-1.0,8081.0,-1.0,10.0466215,-1.0
482,49.0,40115.0,48696.0,22379.0,353491.0,89961.0,52433.0,10968.0,14.83290947,12.19194984
483,305.0,37255.0,42784.0,20942.0,88192.0,23777.0,12588.0,2527.0,14.27340348,10.62791774
484,474.0,33240.0,41786.0,22981.0,61831.0,14199.0,14736.0,3298.0,23.83270528,23.22698782
485,294.0,36904.0,52413.0,24895.0,91115.0,22724.0,15264.0,2733.0,16.75245569,12.02693188
486,114.0,38197.0,46936.0,23125.0,183309.0,48780.0,35208.0,7044.0,19.20691292,14.4403444
487,144.0,37797.0,53221.0,22244.0,154116.0,35862.0,28854.0,4371.0,18.72226115,12.18838882
488,443.0,42729.0,50427.0,19520.0,68437.0,-1.0,8613.0,-1.0,12.58529743,-1.0
489,373.0,29428.0,37778.0,16568.0,79174.0,18906.0,18775.0,3504.0,23.71359285,18.53379879
490,103.0,49304.0,61626.0,25826.0,192289.0,45380.0,30014.0,6260.0,15.60879718,13.79462318
491,461.0,26516.0,30881.0,13913.0,65294.0,17761.0,15865.0,3667.0,24.29779153,20.64636
492,291.0,37572.0,42143.0,18631.0,91350.0,23860.0,14371.0,3147.0,15.73180077,13.18943839
