City and state, Rank based on resident population 2005, Median household income (dollars), Median family income  (dollars), Per capita income  (dollars), Individuals for  whom poverty status determined (number), Families for  whom poverty status determined (number), Total individual below povery level, Total familes below povery level, Percent individual below povery level, Percent familes below povery level
024,276.0,29820.0,45746.0,19304.0,93568.0,18451.0,27913.0,3245.0,29.8317801,17.58712265
025,42.0,39752.0,42010.0,33590.0,394224.0,79649.0,105928.0,20349.0,26.87000284,25.54834336
026,116.0,37231.0,42761.0,19479.0,180110.0,48938.0,41196.0,9602.0,22.87268891,19.62074462
027,58.0,48309.0,56029.0,23060.0,290837.0,70685.0,38228.0,7588.0,13.14413228,10.73495084
028,126.0,55950.0,58218.0,23454.0,170053.0,40143.0,23195.0,4572.0,13.63986522,11.38928331
029,16.0,43731.0,60592.0,27760.0,674720.0,149801.0,122141.0,20689.0,18.10247214,13.81098925
030,476.0,53085.0,55071.0,19507.0,61580.0,-1.0,11999.0,-1.0,19.48522247,-1.0
031,60.0,45174.0,51601.0,20937.0,284523.0,65925.0,51617.0,9599.0,18.14159137,14.5604854
032,333.0,42432.0,41176.0,12713.0,84393.0,-1.0,16881.0,-1.0,20.00284384,-1.0
033,18.0,32456.0,41542.0,20749.0,603953.0,126274.0,136256.0,23836.0,22.56069595,18.87641161
034,91.0,31049.0,40516.0,20528.0,204672.0,50713.0,60605.0,12075.0,29.6107919,23.8104628
035,478.0,36700.0,48850.0,21352.0,61198.0,-1.0,9345.0,-1.0,15.27010687,-1.0
036,223.0,32183.0,43014.0,18663.0,107482.0,26740.0,24298.0,5305.0,22.60657598,19.83919222
037,341.0,50884.0,60797.0,26018.0,83447.0,-1.0,7264.0,-1.0,8.70492648,-1.0
038,207.0,69880.0,85732.0,40843.0,114561.0,31482.0,9647.0,1860.0,8.420841299,5.908137984
039,379.0,41507.0,43617.0,17762.0,77657.0,-1.0,11921.0,-1.0,15.35083766,-1.0
040,439.0,35612.0,54664.0,22801.0,69057.0,-1.0,15594.0,-1.0,22.58134584,-1.0
041,458.0,46838.0,57443.0,26977.0,65828.0,-1.0,3773.0,-1.0,5.731603573,-1.0
042,297.0,48123.0,74852.0,36954.0,89848.0,-1.0,18439.0,-1.0,20.5224379,-1.0
043,447.0,41599.0,51622.0,26114.0,67961.0,17870.0,7765.0,1708.0,11.42567061,9.557918299
044,284.0,38711.0,49192.0,23884.0,92460.0,23533.0,14823.0,2913.0,16.03179753,12.3783623
045,78.0,27020.0,32162.0,16129.0,221557.0,55859.0,64135.0,14858.0,28.94740405,26.59911563
046,482.0,51273.0,62932.0,28204.0,60686.0,-1.0,7385.0,-1.0,12.16919883,-1.0
047,492.0,22589.0,48347.0,20261.0,55406.0,-1.0,19959.0,-1.0,36.02317439,-1.0
048,369.0,54438.0,67088.0,30346.0,79990.0,-1.0,5246.0,-1.0,6.55831979,-1.0
049,406.0,55733.0,76713.0,48885.0,74304.0,-1.0,7912.0,-1.0,10.64814815,-1.0
050,111.0,46342.0,59693.0,24657.0,190036.0,50203.0,22446.0,3816.0,11.81144625,7.601139374
051,431.0,67810.0,76707.0,27138.0,69886.0,-1.0,3308.0,-1.0,4.733423003,-1.0
052,28.0,42562.0,49320.0,30167.0,519949.0,112656.0,116110.0,20086.0,22.33103631,17.82949865
053,342.0,46002.0,75945.0,32326.0,83284.0,-1.0,16308.0,-1.0,19.58119207,-1.0
054,488.0,39216.0,47212.0,24571.0,58611.0,-1.0,10844.0,-1.0,18.50164645,-1.0
055,301.0,51356.0,57638.0,22782.0,89829.0,23213.0,6372.0,1196.0,7.093477607,5.152285357
056,180.0,36976.0,44809.0,19333.0,131375.0,31741.0,23549.0,5111.0,17.92502379,16.1022022
057,289.0,47250.0,49443.0,20138.0,91431.0,-1.0,11104.0,-1.0,12.14467741,-1.0
058,330.0,54779.0,61886.0,23873.0,85039.0,23932.0,7926.0,1749.0,9.32042945,7.308206585
059,456.0,55460.0,64175.0,25316.0,66302.0,-1.0,6610.0,-1.0,9.969533347,-1.0
060,125.0,24207.0,24587.0,10669.0,171184.0,39322.0,72981.0,15518.0,42.63307318,39.46391333
061,490.0,30012.0,39794.0,16567.0,55950.0,-1.0,15599.0,-1.0,27.88025022,-1.0
062,397.0,58057.0,61922.0,23176.0,75669.0,-1.0,6204.0,-1.0,8.198866114,-1.0
063,67.0,27311.0,33027.0,17348.0,255506.0,61442.0,68607.0,14479.0,26.85142423,23.56531363
064,250.0,51516.0,70324.0,30654.0,99796.0,-1.0,10096.0,-1.0,10.11663794,-1.0
065,360.0,59746.0,79201.0,41519.0,81260.0,16660.0,12665.0,1330.0,15.58577406,7.983193277
066,411.0,18007.0,22000.0,10435.0,73259.0,18569.0,32201.0,7564.0,43.95500894,40.7345576
067,296.0,79535.0,94242.0,32267.0,90401.0,-1.0,3897.0,-1.0,4.310793022,-1.0
068,416.0,27460.0,35032.0,15823.0,72021.0,18234.0,19762.0,4339.0,27.43921912,23.79620489
069,171.0,46933.0,51017.0,24861.0,133783.0,-1.0,11314.0,-1.0,8.456978839,-1.0
070,283.0,78037.0,92476.0,42114.0,92998.0,-1.0,3740.0,-1.0,4.021591862,-1.0
071,190.0,60482.0,65876.0,27117.0,122372.0,30700.0,7049.0,1752.0,5.760304645,5.706840391
072,288.0,61654.0,70659.0,22129.0,91763.0,-1.0,9403.0,-1.0,10.24704946,-1.0
073,225.0,77395.0,88326.0,35437.0,107416.0,-1.0,5120.0,-1.0,4.766515231,-1.0
074,197.0,47357.0,57225.0,25029.0,118647.0,31053.0,17736.0,3933.0,14.94854484,12.66544295
075,236.0,75313.0,87924.0,36046.0,103093.0,28125.0,5011.0,1019.0,4.860659793,3.623111111
076,463.0,30443.0,56594.0,21301.0,65358.0,-1.0,17934.0,-1.0,27.43964014,-1.0
077,76.0,62010.0,69406.0,30120.0,224957.0,56217.0,16853.0,3242.0,7.491653961,5.766938826
078,215.0,36151.0,49673.0,26922.0,109082.0,25926.0,20680.0,3201.0,18.95821492,12.34667901
079,20.0,47131.0,56960.0,28875.0,600769.0,152408.0,78124.0,15575.0,13.00399987,10.21927983
080,164.0,32174.0,47611.0,21893.0,139063.0,33124.0,26866.0,4794.0,19.31930132,14.47288975
081,365.0,43345.0,52594.0,21124.0,79974.0,-1.0,5971.0,-1.0,7.466176507,-1.0
082,82.0,60817.0,68778.0,26116.0,214203.0,57526.0,11966.0,2309.0,5.586289641,4.013837221
083,3.0,41015.0,46888.0,23449.0,2692618.0,595691.0,573486.0,107418.0,21.29845377,18.03250343
084,424.0,32436.0,44096.0,21542.0,71095.0,14139.0,20347.0,3036.0,28.61945284,21.47252281
085,434.0,68705.0,70426.0,22510.0,69102.0,-1.0,4689.0,-1.0,6.785621256,-1.0
